algoritmo,n,tempo_medio

InsertionSort,10000,19713

BubbleSort,10000,149783

SequentialSearch,10000,40

BinarySearch,10000,1


InsertionSort,20000,74544

BubbleSort,20000,600084

SequentialSearch,20000,80

BinarySearch,20000,1


InsertionSort,50000,467514

BubbleSort,50000,2220210

SequentialSearch,50000,106

BinarySearch,50000,1


InsertionSort,80000,605725

BubbleSort,80000,5159364

SequentialSearch,80000,16

BinarySearch,80000,1


InsertionSort,100000,1030877

BubbleSort,100000,8052923

SequentialSearch,100000,20

BinarySearch,100000,1

